procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 11469084 802456 15405512    0    0     0     0 1241  283 13  0 87  0
 1  0 1208016 11452580 802456 15405812    0    0     0     0 1103   85 13  0 88  0
 1  1 1208016 11437748 802472 15406104    0    0     0    32 1131  107 13  0 87  0
 1  0 1208016 11421116 802472 15406404    0    0     0     0 1100   74 12  0 88  0
 1  0 1208016 11404356 802472 15406704    0    0     0     0 1086   57 13  0 88  0
 1  0 1208016 11381704 802472 15406884    0    0     0     0 1101   78 12  0 87  0
 1  0 1208016 11357004 802472 15406952    0    0     0     0 1072   37 12  0 87  0
 1  1 1208016 11333804 802484 15407060    0    0     0    24 1106   79 12  0 87  0
 1  0 1208016 11311508 802484 15407120    0    0     0     0 1122   63 12  0 87  0
 1  0 1208016 11288856 802484 15407252    0    0     0     0 1101   70 12  0 88  0
 1  0 1208016 11264156 802484 15407316    0    0     0     0 1077   35 12  0 87  0
 1  0 1208016 11241628 802484 15407376    0    0     0     0 1107   62 12  0 88  0
 1  1 1208016 11218976 802500 15407480    0    0     0    24 1100   69 12  0 87  0
 1  0 1208016 11196572 802500 15407540    0    0     0     0 1089   62 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 11171872 802500 15407616    0    0     0    24 1089   41 13  0 88  0
 1  0 1208016 11162068 802500 15407736    0    0     0     0 1095   53 12  0 87  0
 1  0 1208016 11159896 802500 15407796    0    0     0     0 1071   31 13  0 88  0
 1  0 1208016 11155248 802508 15407848    0    0     0    20 1129   88 12  0 87  0
 1  0 1208016 11153200 802516 15407960    0    0     0    12 1076   54 12  0 87  0
 1  0 1208016 11151384 802516 15408040    0    0     0     8 1089   52 13  0 88  0
 1  0 1208016 11149212 802516 15408220    0    0     0     0 1099   48 12  0 87  0
 1  0 1208016 11146668 802516 15409076    0    0     0     0 1113   92 13  0 88  0
 1  0 1208016 11817540 802516 15409000    0    0     0  4648 1527  577 14  0 85  0
 1  0 1208016 11817428 802532 15409208    0    0     0    32 1738  893 15  0 84  0
 1  0 1208016 11817508 802532 15409208    0    0     0     0 1527  624 14  0 85  0
 3  0 1208016 11817844 802532 15409208    0    0     0     0 2046 1337 17  0 83  0
 1  0 1208016 11817652 802532 15409208    0    0     0     0 2376 1728 18  1 82  0
 1  0 1208016 11817696 802532 15409208    0    0     0    16 1538  650 15  0 85  0
 1  0 1208016 11817596 802540 15409204    0    0     0    12 1690  848 15  0 84  0
 1  0 1208016 12778424 802540 15409212    0    0     0     0 2904 2150 17  3 80  0
/s    kB_read    kB_wrtn
sda               0.00         0.00         0.00          0          0
sdb               0.00         0.00         0.00          0          0
sdc               0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          95.25    0.00    3.88    0.00    0.00    0.88

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda               0.00         0.00         0.00          0          0
sdb               2.00         0.00        20.00          0         20
sdc               0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          23.93    0.00    2.63    0.00    0.00   73.43

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda               0.00         0.00         0.00          0          0
sdb               3.00         0.00        24.00          0         24
sdc               0.00         0.00         0.00          0          0

